componente ,explicacion ,cuantos ,costo,link 
motores n20,motores principales,2, $13.00 ,Kit 2 Piezas De Motorreductor Motor 30:1 298: 150:1 50:1 N20 | Envío gratis
servo motores 180 ,motores de arma,2, $5.69 ,Tecneu 2 Servomotor Micro Sg90 1.6kg Servo Motor Arduino Pic 180° | Envío gratis
buck converter,convertidor de energia,1, $11.50 ,10 Pzas Regulador De Voltaje Dc-dc Lm2596 Ajustable 1.25-30v | Envío gratis
boton nc,boton normalmente cerrado,1, $3.96 ,Microswitch Para Horno De Microondas 16a 125v N Abierto | Meses sin interés
led piloto ,metodo de seguridad,1, $4.14 ,Lampara Indicadora Luz Led Piloto Empotrable 22mm 110v | Meses sin interés
driver puente h ,controla los motores,1, $9.25 ,10 Piezas Puente H Mx1508 Mini L298n Doble Pwm Driver Motor | Envío gratis
esp32 c3 super mini,cerebro de el circuito,1, $5.63 ,Esp32-c3 Esp32 Supermini Wifi Bluetooth | Envío gratis
bateria 7.4V 8 A,alimentacion principal,2, $39.76 ,"Batería Para Cohes, Helicópte Rc Wltoys, Lipo 18650 2s 7.4 V | Meses sin interés"
kit de cables dupont,cables,1, $5.30 ,120 Cables Dupont Extra Largos 30cm Macho- Macho: Plug/plug | Envío gratis
,,,,
,,,,
,,,,
